dataset,model,lr_feat,lr_adj,epoch,ratio
amazon-photo,SAGE,0.001,0.01,5,0.01
amazon-photo,GCN,0.001,0.5,10,0.005
amazon-photo,GPR,1e-05,0.5,5,0.005
cora,SAGE,0.001,0.1,5,0.005
cora,GCN,0.001,0.1,5,0.005
cora,GPR,1e-05,0.5,5,0.005
elliptic,GPR,0.005,0.5,10,0.05
elliptic,GCN,0.005,0.1,10,0.05
elliptic,SAGE,0.005,0.1,5,0.05
twitch-e,SAGE,0.0001,0.1,5,0.005
twitch-e,GPR,1e-05,0.01,10,0.05
twitch-e,GCN,0.0001,0.01,10,0.05
amazon-photo,GAT,0.001,0.1,10,0.1
cora,GAT,0.0001,0.01,10,0.005
elliptic,GAT,0.005,0.1,5,0.1
twitch-e,GAT,0.0001,0.1,10,0.1
ogb-arxiv,GPR,0.001,0.1,5,0.05
ogb-arxiv,GCN,0.001,0.1,10,0.1
ogb-arxiv,GAT,0.005,0.1,10,0.1
ogb-arxiv,SAGE,0.001,0.5,10,0.005
fb100,GCN,1e-06,0.1,5,0.1
fb100,SAGE,1e-06,0.1,5,0.1
fb100,GPR,1e-06,0.1,5,0.1
fb100,GAT,1e-05,0.1,5,0.1
